2015-06-18 00:00:00, 1.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 2.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 3.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 4.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 5.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 6.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 7.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 8.0, 9.0, Charleston, South Carolina
2015-06-18 00:00:00, 9.0, 9.0, Charleston, South Carolina
2015-07-16 00:00:00, 1.0, 5.0, Chattanooga, Tennessee
2015-07-16 00:00:00, 2.0, 5.0, Chattanooga, Tennessee
2015-07-16 00:00:00, 3.0, 5.0, Chattanooga, Tennessee
2015-07-16 00:00:00, 4.0, 5.0, Chattanooga, Tennessee
2015-07-16 00:00:00, 5.0, 5.0, Chattanooga, Tennessee
2014-05-23 00:00:00, 1.0, 7.0, Isla Vista, California
2014-05-23 00:00:00, 2.0, 7.0, Isla Vista, California
2014-05-23 00:00:00, 3.0, 7.0, Isla Vista, California
2014-05-23 00:00:00, 4.0, 7.0, Isla Vista, California
2014-05-23 00:00:00, 5.0, 7.0, Isla Vista, California
2014-05-23 00:00:00, 6.0, 7.0, Isla Vista, California
2014-05-23 00:00:00, 7.0, 7.0, Isla Vista, California
2014-02-20 00:00:00, 1.0, 4.0, Alturas, California
2014-02-20 00:00:00, 2.0, 4.0, Alturas, California
2014-02-20 00:00:00, 3.0, 4.0, Alturas, California
2014-02-20 00:00:00, 4.0, 4.0, Alturas, California
2014-10-24 00:00:00, 1.0, 5.0, Marysville, Washington
2014-10-24 00:00:00, 2.0, 5.0, Marysville, Washington
2014-10-24 00:00:00, 3.0, 5.0, Marysville, Washington
2014-10-24 00:00:00, 4.0, 5.0, Marysville, Washington
2014-10-24 00:00:00, 5.0, 5.0, Marysville, Washington
2013-06-07 00:00:00, 1.0, 6.0, Santa Monica, California
2013-06-07 00:00:00, 2.0, 6.0, Santa Monica, California
2013-06-07 00:00:00, 3.0, 6.0, Santa Monica, California
2013-06-07 00:00:00, 4.0, 6.0, Santa Monica, California
2013-06-07 00:00:00, 5.0, 6.0, Santa Monica, California
2013-06-07 00:00:00, 6.0, 6.0, Santa Monica, California
2013-09-16 00:00:00, 1.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 2.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 3.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 4.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 5.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 6.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 7.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 8.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 9.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 10.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 11.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 12.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-09-16 00:00:00, 13.0, 13.0, Washington Navy Yard, Washington, D.C.
2013-07-26 00:00:00, 1.0, 6.0, Hialeah, Florida
2013-07-26 00:00:00, 2.0, 6.0, Hialeah, Florida
2013-07-26 00:00:00, 3.0, 6.0, Hialeah, Florida
2013-07-26 00:00:00, 4.0, 6.0, Hialeah, Florida
2013-07-26 00:00:00, 5.0, 6.0, Hialeah, Florida
2013-07-26 00:00:00, 6.0, 6.0, Hialeah, Florida
2013-04-21 00:00:00, 1.0, 5.0, Federal Way, Washington
2013-04-21 00:00:00, 2.0, 5.0, Federal Way, Washington
2013-04-21 00:00:00, 3.0, 5.0, Federal Way, Washington
2013-04-21 00:00:00, 4.0, 5.0, Federal Way, Washington
2013-04-21 00:00:00, 5.0, 5.0, Federal Way, Washington
2013-03-13 00:00:00, 1.0, 5.0, Herkimer, New York
2013-03-13 00:00:00, 2.0, 5.0, Herkimer, New York
2013-03-13 00:00:00, 3.0, 5.0, Herkimer, New York
2013-03-13 00:00:00, 4.0, 5.0, Herkimer, New York
2013-03-13 00:00:00, 5.0, 5.0, Herkimer, New York
2012-07-20 00:00:00, 1.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 2.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 3.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 4.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 5.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 6.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 7.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 8.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 9.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 10.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 11.0, 12.0, Aurora, Colorado
2012-07-20 00:00:00, 12.0, 12.0, Aurora, Colorado
2012-08-05 00:00:00, 1.0, 7.0, Oak Creek, Wisconsin
2012-08-05 00:00:00, 2.0, 7.0, Oak Creek, Wisconsin
2012-08-05 00:00:00, 3.0, 7.0, Oak Creek, Wisconsin
2012-08-05 00:00:00, 4.0, 7.0, Oak Creek, Wisconsin
2012-08-05 00:00:00, 5.0, 7.0, Oak Creek, Wisconsin
2012-08-05 00:00:00, 6.0, 7.0, Oak Creek, Wisconsin
2012-08-05 00:00:00, 7.0, 7.0, Oak Creek, Wisconsin
2012-09-27 00:00:00, 1.0, 7.0, Minneapolis, Minnesota
2012-09-27 00:00:00, 2.0, 7.0, Minneapolis, Minnesota
2012-09-27 00:00:00, 3.0, 7.0, Minneapolis, Minnesota
2012-09-27 00:00:00, 4.0, 7.0, Minneapolis, Minnesota
2012-09-27 00:00:00, 5.0, 7.0, Minneapolis, Minnesota
2012-09-27 00:00:00, 6.0, 7.0, Minneapolis, Minnesota
2012-09-27 00:00:00, 7.0, 7.0, Minneapolis, Minnesota
2012-12-14 00:00:00, 1.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 2.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 3.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 4.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 5.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 6.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 7.0, 27.0, Newtown, Connecticut
2012-12-14 00:00:00, 8.0, 27.0, Newtown, Connecticut
